_step,training/rollout_probs_diff_max,training/rollout_probs_diff_min,train/vllm_kl,val-core/math_dapo/acc/mean@32,run_name
5,0.9999986886978148,-0.16767510771751404,0.0012611730489879849,0.08020833333333334,flash-baseline-T1-cleanedX
10,1.0,-0.14948678016662598,0.00129456736613065,0.16458333333333333,flash-baseline-T1-cleanedX
15,1.0,-0.25848907232284546,0.001366343698464334,0.17604166666666668,flash-baseline-T1-cleanedX
20,1.0,-0.25878745317459106,0.0013051447458565235,0.20625,flash-baseline-T1-cleanedX
25,1.0,-0.3239370286464691,0.0013327350607141852,0.20625,flash-baseline-T1-cleanedX
30,1.0,-0.4090922772884369,0.001370434183627367,0.228125,flash-baseline-T1-cleanedX
35,1.0,-0.3589232563972473,0.0013067795662209392,0.234375,flash-baseline-T1-cleanedX
40,1.0,-0.3002854883670807,0.0012951812241226437,0.2520833333333333,flash-baseline-T1-cleanedX
45,1.0,-0.34478360414505005,0.0013359800213947892,0.23333333333333336,flash-baseline-T1-cleanedX
50,1.0,-0.37487369775772095,0.001235096249729395,0.23541666666666664,flash-baseline-T1-cleanedX
55,1.0,-0.3542329967021942,0.001258018775843084,0.2625,flash-baseline-T1-cleanedX
60,1.0,-0.268688440322876,0.0012020854046568274,0.26666666666666666,flash-baseline-T1-cleanedX
65,1.0,-0.3316609263420105,0.0012282644165679812,0.26145833333333335,flash-baseline-T1-cleanedX
70,1.0,-0.4383106827735901,0.0012356140650808811,0.259375,flash-baseline-T1-cleanedX
75,1.0,-0.2963355481624603,0.0011644290061667562,0.27708333333333335,flash-baseline-T1-cleanedX
80,0.999999225139618,-0.3463882803916931,0.0011493392521515489,0.26458333333333334,flash-baseline-T1-cleanedX
85,1.0,-0.2966654896736145,0.0011584388557821512,0.28854166666666664,flash-baseline-T1-cleanedX
90,1.0,-0.5694703459739685,0.001146096969023347,0.29375,flash-baseline-T1-cleanedX
95,0.9999998807907104,-0.338797926902771,0.0011512094642966986,0.29270833333333335,flash-baseline-T1-cleanedX
100,1.0,-0.6599152684211731,0.0011615266557782888,0.29270833333333335,flash-baseline-T1-cleanedX
105,0.9999998807907104,-0.34890294075012207,0.0011377352057024837,0.31979166666666664,flash-baseline-T1-cleanedX
110,0.9999998807907104,-0.3708702623844147,0.0011499498505145311,0.2864583333333333,flash-baseline-T1-cleanedX
115,0.999997854232788,-0.75433349609375,0.001139209372922778,0.30104166666666665,flash-baseline-T1-cleanedX
120,0.9999995231628418,-0.5469554662704468,0.0011797297047451138,0.3,flash-baseline-T1-cleanedX
125,0.9999994039535522,-0.286480575799942,0.0011110184714198112,0.2989583333333333,flash-baseline-T1-cleanedX
130,0.9999990463256836,-0.30767178535461426,0.0011361066717654469,0.30625,flash-baseline-T1-cleanedX
135,1.0,-0.6238316297531128,0.0011544732842594383,0.3020833333333333,flash-baseline-T1-cleanedX
140,0.999996542930603,-0.5658764839172363,0.0011354077141731975,0.321875,flash-baseline-T1-cleanedX
145,0.9999997615814208,-0.4808574914932251,0.0011078633833676577,0.315625,flash-baseline-T1-cleanedX
150,0.9999992847442628,-0.3696315884590149,0.0011212057434022429,0.3125,flash-baseline-T1-cleanedX
155,0.9999985694885254,-0.27951696515083313,0.001105058589018881,0.3145833333333333,flash-baseline-T1-cleanedX
160,0.999998927116394,-0.36973270773887634,0.00114310288336128,0.31875,flash-baseline-T1-cleanedX
165,0.9999954700469972,-0.5737348794937134,0.0011029391316697,0.33229166666666665,flash-baseline-T1-cleanedX
170,0.9999992847442628,-0.8587992191314697,0.0011621604207903149,0.32083333333333336,flash-baseline-T1-cleanedX
175,0.999995231628418,-0.8460499048233032,0.0010971035808324814,0.3260416666666667,flash-baseline-T1-cleanedX
180,0.9999780654907228,-0.8247001767158508,0.0010670459596440196,0.321875,flash-baseline-T1-cleanedX
185,0.9999985694885254,-0.3313031792640686,0.0011236084392294288,0.31145833333333334,flash-baseline-T1-cleanedX
190,0.999997615814209,-0.41844266653060913,0.0010698153637349606,0.30416666666666664,flash-baseline-T1-cleanedX
195,0.9999992847442628,-0.2973369061946869,0.0011116492096334696,0.3333333333333333,flash-baseline-T1-cleanedX
200,0.9999903440475464,-0.38535523414611816,0.001101105473935604,0.3489583333333333,flash-baseline-T1-cleanedX
205,0.9999836683273317,-0.5272195339202881,0.001105278846807778,0.36041666666666666,flash-baseline-T1-cleanedX
210,0.9999948740005492,-0.89161217212677,0.0011232333490625024,0.3614583333333333,flash-baseline-T1-cleanedX
215,0.9999916553497314,-0.4673873484134674,0.0010886231902986765,0.36770833333333336,flash-baseline-T1-cleanedX
220,0.9999890327453612,-0.40776094794273376,0.0010807199869304895,0.359375,flash-baseline-T1-cleanedX
225,0.9999870657920836,-0.5758423209190369,0.0010662986896932123,0.35833333333333334,flash-baseline-T1-cleanedX
230,0.9999990463256836,-0.38306522369384766,0.001068370882421732,0.36666666666666664,flash-baseline-T1-cleanedX
235,0.9999983310699464,-0.459544837474823,0.0010597988730296493,0.3625,flash-baseline-T1-cleanedX
240,0.9999996423721312,-0.5015672445297241,0.0010496582835912704,0.3770833333333333,flash-baseline-T1-cleanedX
245,0.9999918937683104,-0.8154175281524658,0.001069065765477717,0.37395833333333334,flash-baseline-T1-cleanedX
250,0.9999771118164062,-0.5882790088653564,0.0010488360421732068,0.3958333333333333,flash-baseline-T1-cleanedX
