_step,training/rollout_probs_diff_max,training/rollout_probs_diff_min,train/vllm_kl,val-core/math_dapo/acc/mean@32
5,0.9999992847442628,-0.2430938482284546,0.001263292855583131,0.090625
10,0.9999998807907104,-0.29881569743156433,0.0012739303056150677,0.16354166666666667
15,1.0,-0.21120542287826535,0.0013552153250202537,0.16979166666666667
20,1.0,-0.3907959759235382,0.0013108281418681145,0.209375
25,1.0,-0.21071994304656985,0.0012482323218137026,0.20729166666666668
30,1.0,-0.21511849761009216,0.001302893622778356,0.22708333333333333
35,1.0,-0.5573030114173889,0.001364288735203445,0.23229166666666667
40,1.0,-0.704232931137085,0.0012932196259498596,0.23541666666666664
45,1.0,-0.32168126106262207,0.0012849709019064903,0.24270833333333333
50,1.0,-0.27862703800201416,0.0013278262922540307,0.25
